ui_path,object_id,widget_class,policy,notification_profile,exclusion_reason
cui/uiconfig/ui/welcomedialog.ui,WelcomeDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/widgettestdialog.ui,WidgetTestDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/zoomdialog.ui,ZoomDialog,GtkDialog,bottom-right-notification-form,default,
dbaccess/uiconfig/ui/admindialog.ui,AdminDialog,GtkDialog,bottom-right-notification-form,default,
dbaccess/uiconfig/ui/advancedsettingsdialog.ui,AdvancedSettingsDialog,GtkDialog,bottom-right-notification-form,default,
dbaccess/uiconfig/ui/choosedatasourcedialog.ui,ChooseDataSourceDialog,GtkDialog,bottom-right-notification-form,default,
dbaccess/uiconfig/ui/collectionviewdialog.ui,CollectionView,GtkDialog,bottom-right-notification-form,default,
dbaccess/uiconfig/ui/colwidthdialog.ui,ColWidthDialog,GtkDialog,bottom-right-notification-form,default,
dbaccess/uiconfig/ui/dbaseindexdialog.ui,DBaseIndexDialog,GtkDialog,bottom-right-notification-form,default,
dbaccess/uiconfig/ui/deleteallrowsdialog.ui,DeleteAllRowsDialog,GtkMessageDialog,bottom-right-notification-form,default,
dbaccess/uiconfig/ui/designsavemodifieddialog.ui,DesignSaveModifiedDialog,GtkMessageDialog,bottom-right-notification-form,default,
dbaccess/uiconfig/ui/directsqldialog.ui,DirectSQLDialog,GtkDialog,bottom-right-notification-form,default,
dbaccess/uiconfig/ui/fielddialog.ui,FieldDialog,GtkDialog,bottom-right-notification-form,default,
dbaccess/uiconfig/ui/indexdesigndialog.ui,IndexDesignDialog,GtkDialog,bottom-right-notification-form,default,
dbaccess/uiconfig/ui/joindialog.ui,JoinDialog,GtkDialog,bottom-right-notification-form,default,
dbaccess/uiconfig/ui/migrwarndlg.ui,MigrationWarnDialog,GtkMessageDialog,bottom-right-notification-form,default,
dbaccess/uiconfig/ui/parametersdialog.ui,Parameters,GtkDialog,bottom-right-notification-form,default,
dbaccess/uiconfig/ui/password.ui,PasswordDialog,GtkDialog,bottom-right-notification-form,default,
dbaccess/uiconfig/ui/queryfilterdialog.ui,QueryFilterDialog,GtkDialog,bottom-right-notification-form,default,
dbaccess/uiconfig/ui/querypropertiesdialog.ui,QueryPropertiesDialog,GtkDialog,bottom-right-notification-form,default,
dbaccess/uiconfig/ui/relationdialog.ui,RelationDialog,GtkDialog,bottom-right-notification-form,default,
dbaccess/uiconfig/ui/rowheightdialog.ui,RowHeightDialog,GtkDialog,bottom-right-notification-form,default,
dbaccess/uiconfig/ui/savedialog.ui,SaveDialog,GtkDialog,bottom-right-notification-form,default,
dbaccess/uiconfig/ui/saveindexdialog.ui,SaveIndexDialog,GtkMessageDialog,bottom-right-notification-form,default,
dbaccess/uiconfig/ui/savemodifieddialog.ui,SaveModifiedDialog,GtkMessageDialog,bottom-right-notification-form,default,
dbaccess/uiconfig/ui/sortdialog.ui,SortDialog,GtkDialog,bottom-right-notification-form,default,
dbaccess/uiconfig/ui/sqlexception.ui,SQLExceptionDialog,GtkDialog,bottom-right-notification-form,default,
dbaccess/uiconfig/ui/tabledesignsavemodifieddialog.ui,TableDesignSaveModifiedDialog,GtkMessageDialog,bottom-right-notification-form,default,
dbaccess/uiconfig/ui/tablesfilterdialog.ui,TablesFilterDialog,GtkDialog,bottom-right-notification-form,default,
dbaccess/uiconfig/ui/tablesjoindialog.ui,TablesJoinDialog,GtkDialog,bottom-right-notification-form,default,
dbaccess/uiconfig/ui/textconnectionsettings.ui,TextConnectionSettingsDialog,GtkDialog,bottom-right-notification-form,default,
dbaccess/uiconfig/ui/useradmindialog.ui,UserAdminDialog,GtkDialog,bottom-right-notification-form,default,
desktop/uiconfig/ui/dependenciesdialog.ui,Dependencies,GtkDialog,bottom-right-notification-form,default,
desktop/uiconfig/ui/extensionmanager.ui,ExtensionManagerDialog,GtkDialog,bottom-right-notification-form,default,
desktop/uiconfig/ui/installforalldialog.ui,InstallForAllDialog,GtkMessageDialog,bottom-right-notification-form,default,
desktop/uiconfig/ui/licensedialog.ui,LicenseDialog,GtkDialog,bottom-right-notification-form,default,
desktop/uiconfig/ui/showlicensedialog.ui,ShowLicenseDialog,GtkDialog,bottom-right-notification-form,default,
desktop/uiconfig/ui/updatedialog.ui,UpdateDialog,GtkDialog,bottom-right-notification-form,default,
desktop/uiconfig/ui/updateinstalldialog.ui,UpdateInstallDialog,GtkDialog,bottom-right-notification-form,default,
desktop/uiconfig/ui/updaterequireddialog.ui,UpdateRequiredDialog,GtkDialog,bottom-right-notification-form,default,
extensions/uiconfig/sbibliography/ui/choosedatasourcedialog.ui,ChooseDataSourceDialog,GtkDialog,bottom-right-notification-form,default,
extensions/uiconfig/sbibliography/ui/mappingdialog.ui,MappingDialog,GtkDialog,bottom-right-notification-form,default,
extensions/uiconfig/sbibliography/ui/querydialog.ui,QueryDialog,GtkMessageDialog,bottom-right-notification-form,default,
extensions/uiconfig/scanner/ui/griddialog.ui,GridDialog,GtkDialog,bottom-right-notification-form,default,
extensions/uiconfig/scanner/ui/sanedialog.ui,SaneDialog,GtkDialog,bottom-right-notification-form,default,
extensions/uiconfig/spropctrlr/ui/controlfontdialog.ui,ControlFontDialog,GtkDialog,bottom-right-notification-form,default,
extensions/uiconfig/spropctrlr/ui/datatypedialog.ui,DataTypeDialog,GtkDialog,bottom-right-notification-form,default,
extensions/uiconfig/spropctrlr/ui/formlinksdialog.ui,FormLinks,GtkDialog,bottom-right-notification-form,default,
extensions/uiconfig/spropctrlr/ui/labelselectiondialog.ui,LabelSelectionDialog,GtkDialog,bottom-right-notification-form,default,
extensions/uiconfig/spropctrlr/ui/listselectdialog.ui,ListSelectDialog,GtkDialog,bottom-right-notification-form,default,
extensions/uiconfig/spropctrlr/ui/taborder.ui,TabOrderDialog,GtkDialog,bottom-right-notification-form,default,
filter/uiconfig/ui/pdfoptionsdialog.ui,PdfOptionsDialog,GtkDialog,bottom-right-notification-form,default,
filter/uiconfig/ui/testxmlfilter.ui,TestXMLFilterDialog,GtkDialog,bottom-right-notification-form,default,
filter/uiconfig/ui/warnpdfdialog.ui,WarnPDFDialog,GtkMessageDialog,bottom-right-notification-form,default,
filter/uiconfig/ui/xmlfiltersettings.ui,XMLFilterSettingsDialog,GtkDialog,bottom-right-notification-form,default,
filter/uiconfig/ui/xsltfilterdialog.ui,XSLTFilterDialog,GtkDialog,bottom-right-notification-form,default,
formula/uiconfig/ui/formuladialog.ui,FormulaDialog,GtkDialog,bottom-right-notification-form,default,
fpicker/uiconfig/ui/explorerfiledialog.ui,ExplorerFileDialog,GtkDialog,bottom-right-notification-form,default,
fpicker/uiconfig/ui/foldernamedialog.ui,FolderNameDialog,GtkDialog,bottom-right-notification-form,default,
fpicker/uiconfig/ui/remotefilesdialog.ui,RemoteFilesDialog,GtkDialog,bottom-right-notification-form,default,
reportdesign/uiconfig/dbreport/ui/backgrounddialog.ui,BackgroundDialog,GtkDialog,bottom-right-notification-form,default,
reportdesign/uiconfig/dbreport/ui/chardialog.ui,CharDialog,GtkDialog,bottom-right-notification-form,default,
reportdesign/uiconfig/dbreport/ui/condformatdialog.ui,CondFormat,GtkDialog,bottom-right-notification-form,default,
reportdesign/uiconfig/dbreport/ui/datetimedialog.ui,DateTimeDialog,GtkDialog,bottom-right-notification-form,default,
reportdesign/uiconfig/dbreport/ui/floatingfield.ui,FloatingField,GtkDialog,bottom-right-notification-form,default,
reportdesign/uiconfig/dbreport/ui/floatingnavigator.ui,FloatingNavigator,GtkDialog,bottom-right-notification-form,default,
reportdesign/uiconfig/dbreport/ui/floatingsort.ui,FloatingSort,GtkDialog,bottom-right-notification-form,default,
reportdesign/uiconfig/dbreport/ui/pagedialog.ui,PageDialog,GtkDialog,bottom-right-notification-form,default,
reportdesign/uiconfig/dbreport/ui/pagenumberdialog.ui,PageNumberDialog,GtkDialog,bottom-right-notification-form,default,
